Player_batting_id,Player_Id,Name,matches,innings,not_out,runs,high_score,high_score_return,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,Season_Id,Team_Id,high_score_description
234,32,"James Vince",5,5,0,174,84,No,34.8,128,135.93,0,1,0,20,5,6,1,NULL
235,66,"Wahab Riaz",12,6,3,66,28,Yes,22,36,183.33,0,0,1,3,5,6,3,NULL
236,138,"Chadwick Walton",6,6,2,89,35,No,22.25,67,132.83,0,0,1,6,4,6,6,NULL
237,205,"Waqar Salamkheil",1,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,3,NULL
238,177,"Waqas Maqsood",7,2,0,19,12,No,9.5,18,105.55,0,0,0,2,1,6,6,NULL
239,308,"Jake Weatherald",5,5,0,148,48,No,29.6,118,125.42,0,0,0,16,7,6,5,NULL
240,302,"Jonathan Wells",2,2,1,61,55,Yes,61,56,108.92,0,1,0,6,3,6,3,NULL
241,143,"David Wiese",4,3,1,44,31,Yes,22,18,244.44,0,0,1,4,4,6,2,NULL
242,309,"Jack Wildermuth",2,2,1,17,9,No,17,18,94.44,0,0,0,1,0,6,5,NULL
243,46,"Zafar Gohar",3,1,1,3,3,Yes,NULL,4,75,0,0,0,0,0,6,4,NULL
244,310,"Zahid Mahmood",6,4,1,5,5,No,1.66,11,45.45,0,0,2,0,0,6,5,NULL
245,178,"Zahir Khan",2,2,1,12,6,Yes,12,8,150,0,0,0,2,0,6,5,NULL
